a,w,t
-0.2,2,5.474
-0.1,-2,10.472
-0.1,-1.9,10.471
-0.1,-1.8,10.448
-0.1,-1.7,10.471
-0.1,-1.6,10.473
-0.1,-1.5,10.403
-0.1,-1.4,10.472
-0.1,-1.3,9.109
-0.1,-1.2,10.238
-0.1,-1.1,10.469
-0.1,-1,10.473
-0.1,-0.9,9.905
-0.1,-0.8,10.47
-0.1,-0.7,10.473
-0.1,-0.6,9.25
-0.1,-0.5,10.471
-0.1,-0.4,10.478
-0.1,-0.3,10.479
-0.1,-0.2,10.474
-0.1,-0.1,10.484
-0.1,0,10.483
-0.1,0.1,10.469
-0.1,0.2,10.483
-0.1,0.3,10.481
-0.1,0.4,10.22
-0.1,0.5,10.475
-0.1,0.6,10.47
-0.1,0.7,10.444
-0.1,0.8,10.473
-0.1,0.9,10.473
-0.1,1,10.458
-0.1,1.1,10.468
-0.1,1.2,10.473
-0.1,1.3,10.464
-0.1,1.4,9.814
-0.1,1.5,10.473
-0.1,1.6,10.466
-0.1,1.7,10.061
-0.1,1.8,9.264
-0.1,1.9,10.468
-0.1,2,10.233
